 ceap_07010101             SWAT+ Mar 4 2024        MODULAR Rev 2024.61.0                                  
   jday   mon   day    yr   unit  gis_id  name                    flo_in          geo_bf         flo_out           peakr         sed_in        sed_out         washld          bedld            dep        deg_btm       deg_bank         hc_sed          width          depth          slope        deg_btm       deg_bank         hc_len      flo_in_mm       aqu_in_mm      flo_out_mm        sed_stor      n_tot          p_tot         dep_bf        velav_bf        
                                                                   m^3/s           m^3/s           m^3/s           m^3/s           tons           tons           tons           tons           tons           tons           tons           tons              m              m            m/m              m              m              m             mm              mm              mm            tons       kg_N           kg_P            m/s             m/s        
   365    12    31  2018      23       1  t_2_23               0.1344E-02     0.1224E-02     0.1327E-02     0.1344E-02     0.7662E-01     0.7662E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.9492E+01     0.1166E+01     0.1000E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.3596E+00     0.3274E+00     0.3549E+00     0.2018E-02     0.8814E-01     0.3265E-02     0.1166E+01     0.6429E+01
   365    12    31  2018      24       1  m_2_24               0.9096E+00     0.4126E-02     0.9096E+00     0.9096E+00     0.4472E+03     0.1531E+03     0.0000E+00     0.0000E+00     0.3703E+03     0.0000E+00     0.7614E+02     0.0000E+00     0.9488E+01     0.1163E+01     0.1000E-04     0.0000E+00     0.1345E+01     0.0000E+00     0.2436E+03     0.1105E+01     0.2436E+03     0.9408E-01     0.5725E+02     0.1566E+01     0.1163E+01     0.6399E+01
   365    12    31  2018      25       1  m_1_25               0.8823E-02     0.7589E-02     0.8821E-02     0.1988E-01     0.7859E+00     0.7859E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4464E+01     0.8735E+00     0.4930E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.2283E+03     0.1964E+03     0.2283E+03     0.3165E-03     0.5481E+00     0.3463E-01     0.8735E+00     0.1324E+02
   365    12    31  2018      26       1  m_2_26               0.9278E+00     0.1810E-01     0.9278E+00     0.9278E+00     0.1532E+03     0.9956E+02     0.0000E+00     0.0000E+00     0.6662E+02     0.0000E+00     0.1295E+02     0.0000E+00     0.9483E+01     0.1164E+01     0.1000E-04     0.0000E+00     0.1279E+01     0.0000E+00     0.2482E+03     0.4842E+01     0.2482E+03     0.1596E-01     0.5836E+02     0.1569E+01     0.1164E+01     0.6402E+01
   365    12    31  2018      27       1  m_2_27               0.7990E+00     0.2129E-01     0.7989E+00     0.7990E+00     0.1475E+03     0.2187E+03     0.0000E+00     0.0000E+00     0.8563E+02     0.0000E+00     0.1569E+03     0.0000E+00     0.9465E+01     0.1152E+01     0.8832E-04     0.0000E+00     0.4639E+01     0.0000E+00     0.2246E+03     0.5986E+01     0.2246E+03     0.4283E-01     0.5343E+02     0.1409E+01     0.1152E+01     0.1867E+02
   365    12    31  2018      28       1  m_1_28               0.2098E-01     0.2549E-02     0.2095E-01     0.2098E-01     0.6904E+01     0.6904E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5566E+01     0.1421E+01     0.2342E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.6179E+02     0.7508E+01     0.6172E+02     0.1797E-01     0.1359E+01     0.3038E+00     0.1421E+01     0.8199E+02
   365    12    31  2018      29       1  m_2_29               0.9035E+00     0.1408E-01     0.9035E+00     0.9035E+00     0.2228E+03     0.4459E+03     0.0000E+00     0.0000E+00     0.1043E+01     0.9480E-02     0.2242E+03     0.0000E+00     0.9536E+01     0.1169E+01     0.1804E-03     0.4745E-03     0.5729E+01     0.0000E+00     0.2461E+03     0.3836E+01     0.2461E+03     0.5991E-01     0.5682E+02     0.1511E+01     0.1167E+01     0.2747E+02
   365    12    31  2018      30       1  m_2_30               0.1095E+01     0.2470E-01     0.1095E+01     0.1095E+01     0.1235E+03     0.1235E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.6832E+01     0.0000E+00     0.0000E+00     0.1019E+02     0.7521E+01     0.6396E-03     0.3354E+00     0.0000E+00     0.0000E+00     0.2239E+03     0.5049E+01     0.2239E+03     0.4196E-01     0.6802E+02     0.2602E+01     0.4514E+01     0.6788E+03
   365    12    31  2018      31       1  m_2_31               0.1150E+01     0.5574E-02     0.1150E+01     0.1150E+01     0.2233E+03     0.4060E+03     0.0000E+00     0.0000E+00     0.8508E+02     0.0000E+00     0.2677E+03     0.0000E+00     0.1050E+02     0.1238E+01     0.2790E-04     0.0000E+00     0.3494E+01     0.0000E+00     0.1949E+03     0.9449E+00     0.1949E+03     0.2157E+00     0.7172E+02     0.3497E+01     0.1238E+01     0.1310E+02
   365    12    31  2018      32       1  t_1_32               0.8026E-02     0.7639E-02     0.8019E-02     0.2903E-01     0.2467E+00     0.2467E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5639E+01     0.1228E+01     0.1000E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.6617E+03     0.6298E+03     0.6612E+03     0.1383E-02     0.4809E+00     0.1085E-01     0.1228E+01     0.4218E+01
   365    12    31  2018      33       1  t_2_33               0.3212E-01     0.3089E-01     0.3208E-01     0.3212E-01     0.7830E+00     0.7830E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.8118E+01     0.1136E+01     0.1186E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.1486E+02     0.1429E+02     0.1484E+02     0.3870E-02     0.1888E+01     0.3433E-01     0.1136E+01     0.5744E+02
   365    12    31  2018      34       1  m_2_34               0.7766E+00     0.7855E-01     0.7765E+00     0.7766E+00     0.6137E+02     0.1467E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.8536E+02     0.0000E+00     0.9365E+01     0.1118E+01     0.6435E-03     0.0000E+00     0.1022E+01     0.0000E+00     0.2206E+03     0.2232E+02     0.2206E+03     0.5459E-01     0.5208E+02     0.1376E+01     0.1118E+01     0.4740E+02
   365    12    31  2018      35       1  t_1_35               0.4109E-01     0.2979E-01     0.4072E-01     0.4109E-01     0.7195E+01     0.7195E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.8246E+01     0.1057E+01     0.1697E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.3494E+02     0.2534E+02     0.3463E+02     0.1420E+00     0.2410E+01     0.3135E+00     0.1057E+01     0.1953E+02
   365    12    31  2018      36       1  t_1_36               0.1422E+00     0.9614E-01     0.1422E+00     0.1422E+00     0.2308E+02     0.2339E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3125E+00     0.0000E+00     0.1020E+02     0.1198E+01     0.1000E-04     0.0000E+00     0.6967E-02     0.0000E+00     0.2923E+02     0.1976E+02     0.2922E+02     0.1264E-01     0.8107E+01     0.1011E+01     0.1198E+01     0.7221E+01
